post_id,platform,post_title,post_date,likes,comments,shares,impressions,content_type
1,X,Post 1: campaign content,2025-06-16,1096,95,51,14248,Text
2,LinkedIn,Post 2: campaign content,2025-06-29,2036,9,9,46828,Text
3,Instagram,Post 3: campaign content,2025-09-18,1929,45,37,36651,Video
4,LinkedIn,Post 4: campaign content,2025-06-04,1701,29,42,42525,Text
5,Instagram,Post 5: campaign content,2025-10-08,1681,153,53,25215,Image
6,Instagram,Post 6: campaign content,2025-12-22,2015,100,9,36270,Text
7,Instagram,Post 7: campaign content,2025-03-30,1823,147,101,32814,Video
8,YouTube,Post 8: campaign content,2025-06-16,2391,126,15,62166,Video
9,LinkedIn,Post 9: campaign content,2025-11-03,1863,47,40,37260,Video
10,LinkedIn,Post 10: campaign content,2025-02-16,2482,99,42,57086,Image
11,LinkedIn,Post 11: campaign content,2025-03-17,609,150,116,17052,Image
12,YouTube,Post 12: campaign content,2025-04-11,1895,138,38,37900,Image
13,YouTube,Post 13: campaign content,2025-06-26,1336,78,73,22712,Video
14,YouTube,Post 14: campaign content,2025-03-07,2426,4,79,58224,Carousel
15,LinkedIn,Post 15: campaign content,2025-01-01,295,96,116,7375,Carousel
16,Instagram,Post 16: campaign content,2025-08-10,489,74,111,3912,Text
17,YouTube,Post 17: campaign content,2025-10-07,1343,99,52,26860,Image
18,YouTube,Post 18: campaign content,2025-07-04,750,123,18,10500,Text
19,Instagram,Post 19: campaign content,2025-01-06,671,75,112,8052,Video
20,YouTube,Post 20: campaign content,2025-03-11,104,38,93,2392,Video
21,YouTube,Post 21: campaign content,2025-12-23,602,166,104,12642,Text
22,YouTube,Post 22: campaign content,2025-07-16,776,118,66,16296,Carousel
23,LinkedIn,Post 23: campaign content,2025-10-23,964,49,55,26028,Text
24,X,Post 24: campaign content,2025-01-18,1009,130,35,21189,Video
25,LinkedIn,Post 25: campaign content,2025-10-25,2367,125,91,44973,Text
26,X,Post 26: campaign content,2025-08-27,367,38,94,8808,Video
27,YouTube,Post 27: campaign content,2025-11-19,2183,158,12,32745,Video
28,LinkedIn,Post 28: campaign content,2025-06-25,2248,150,40,60696,Video
29,X,Post 29: campaign content,2025-08-04,1960,118,66,45080,Carousel
30,X,Post 30: campaign content,2025-10-16,1246,76,22,11214,Carousel
31,Instagram,Post 31: campaign content,2025-10-21,291,163,61,7566,Video
32,YouTube,Post 32: campaign content,2025-02-12,1235,161,4,20995,Image
33,X,Post 33: campaign content,2025-03-09,2110,21,109,33760,Carousel
