task_id,project_name,task_name,owner,status,priority,start_date,due_date,completion_percent
1,Delta,Task 1,Chris,Completed,Medium,2025-12-02,2025-12-27,100
2,Catalyst,Task 2,Chris,Blocked,Low,2025-06-06,2025-06-21,66
3,Beacon,Task 3,Fatima,Blocked,High,2025-03-17,2025-04-13,26
4,Apollo,Task 4,Alex,In Progress,High,2025-04-04,2025-04-20,30
5,Beacon,Task 5,Bianca,Completed,Low,2025-10-22,2025-11-04,100
6,Delta,Task 6,Elliot,Blocked,Medium,2025-12-07,2026-01-01,52
7,Delta,Task 7,Bianca,Not Started,Critical,2025-10-01,2025-10-25,0
8,Catalyst,Task 8,Fatima,Not Started,High,2025-06-13,2025-06-27,0
9,Catalyst,Task 9,Fatima,In Progress,Low,2025-08-31,2025-09-23,82
10,Catalyst,Task 10,Alex,In Progress,Critical,2025-09-03,2025-09-10,80
11,Catalyst,Task 11,Alex,Completed,Medium,2025-11-13,2025-12-02,100
12,Apollo,Task 12,Alex,In Progress,Critical,2025-10-26,2025-12-03,45
13,Catalyst,Task 13,Elliot,Completed,Low,2025-12-13,2025-12-23,100
14,Catalyst,Task 14,Divya,Completed,High,2025-12-08,2026-01-05,100
15,Delta,Task 15,Elliot,Blocked,Low,2025-01-07,2025-01-30,44
16,Beacon,Task 16,Fatima,Completed,Critical,2025-04-21,2025-05-24,100
17,Catalyst,Task 17,Divya,Not Started,High,2025-08-01,2025-08-14,0
18,Delta,Task 18,Fatima,Completed,High,2025-02-03,2025-03-17,100
19,Beacon,Task 19,Bianca,Completed,Critical,2025-08-01,2025-08-17,100
20,Catalyst,Task 20,Divya,Completed,Critical,2025-05-29,2025-07-08,100
21,Catalyst,Task 21,Fatima,Not Started,Critical,2025-04-25,2025-05-01,0
22,Beacon,Task 22,Alex,Completed,Low,2025-03-05,2025-03-28,100
23,Delta,Task 23,Elliot,Not Started,Critical,2025-05-22,2025-06-27,0
24,Apollo,Task 24,Chris,Completed,Medium,2025-05-13,2025-06-27,100
25,Beacon,Task 25,Chris,In Progress,Medium,2025-10-25,2025-11-02,50
26,Apollo,Task 26,Chris,Blocked,High,2025-01-28,2025-02-19,50
27,Beacon,Task 27,Alex,Not Started,Medium,2025-09-29,2025-11-13,0
